"t","a","v","w","sv","sw","st0","wienr","err"
1.08471195468446,1.2,0,0.65,1.5,0.3,0.1,0.120384664955694,8.33665133853534e-11
0.351373529213015,2,0,0.5,1.5,0.1,0.25,0.000172980115854195,9.86926151428284e-11
1.70311218838906,1.2,-0.5,0.35,1.5,0.1,0.25,0.0136520660214493,4.05900534937342e-11
0.387226957164239,0.8,-0.5,0.65,0.5,0.3,0.1,1.11209648618947,9.96508243311968e-11
0.521427908062469,0.8,0,0.35,1.5,0.1,0.1,1.13898667396756,9.70427063759394e-11
2.88035044749267,1.2,-2,0.65,1.5,0.1,0.1,8.4674179671623e-05,1.12036589579862e-11
0.579214111715555,2,-0.5,0.65,0.5,0.1,0.1,0.255342985794832,9.14798250571569e-11
1.11843377427431,0.8,1,0.35,1.5,0.3,0.25,0.0120445054635372,8.98579678675925e-11
2.68385280804941,0.8,0,0.35,0.5,0.3,0.25,1.07884361862461e-07,1.76430851455099e-11
0.676522933493834,2,1,0.35,0.5,0.1,0.25,0.389619857095165,9.74832506783663e-11
0.814049245091155,1.2,-0.5,0.5,1.5,0.3,0.25,0.613482877405488,9.45014344955097e-11
1.5179882202181,0.8,-2,0.5,0.5,0.3,0.25,0.000390201049390275,8.63855037351529e-11
2.75403487997828,1.2,1,0.5,0.5,0.3,0.1,0.000147658549463962,7.54976535789838e-11
2.60526094736997,0.8,0,0.65,1.5,0.1,0.25,1.10570471937361e-07,1.15134355905404e-11
2.29506685576634,1.2,-0.5,0.5,0.5,0.1,0.1,0.00244523431514682,2.7680128194808e-11
1.87026716195978,0.8,-2,0.65,1.5,0.3,0.25,2.43007196269297e-05,5.49865680308032e-11
1.62667867011623,0.8,-2,0.5,0.5,0.3,0.1,6.11540555906336e-05,1.65323497445405e-11
1.22611913537839,2,1,0.65,0.5,0.1,0.1,0.057082568018486,1.94509296222345e-11
0.767799659643788,0.8,3,0.5,1.5,0.3,0.1,0.0315884523742206,7.96507647564293e-11
1.62235524147982,0.8,1,0.5,1.5,0.1,0.25,0.000234590420979357,4.11601320646723e-11
0.889838375942781,0.8,3,0.35,0.5,0.1,0.1,0.0037909203201203,6.52601112655329e-11
2.15297357713571,1.2,3,0.35,0.5,0.1,0.25,8.67807117476718e-06,1.14644723523867e-11
1.31403827423928,1.2,-0.5,0.35,0.5,0.3,0.25,0.0929069526294338,9.71731484740346e-11
1.27842321606586,2,1,0.35,1.5,0.3,0.25,0.12418226939515,7.94535982545541e-11
0.514269376161974,0.8,0,0.65,1.5,0.3,0.25,1.10790737353912,9.97596891028161e-11
1.62999703895766,2,0,0.65,1.5,0.1,0.1,0.117325160410516,9.51346562691369e-11
1.40772970679682,1.2,1,0.35,0.5,0.1,0.1,0.0221656359388204,3.74236987285459e-11
0.392968631559052,2,-2,0.5,0.5,0.1,0.1,0.080121636975721,9.97129285156601e-11
0.681470626674127,1.2,3,0.65,1.5,0.1,0.1,0.073366384295501,5.36897063665898e-11
1.40509602234233,2,-0.5,0.5,0.5,0.1,0.25,0.315292402688295,9.00277656642923e-11
1.68803171023028,0.8,-0.5,0.35,1.5,0.1,0.25,0.000157278546498797,5.4822636189679e-11
1.2183502998203,2,-0.5,0.35,0.5,0.3,0.25,0.335202591482956,9.41583382843458e-11
1.44121595409233,0.8,1,0.65,0.5,0.1,0.1,0.000391326022423788,7.49269573651731e-11
0.88639454114018,0.8,-0.5,0.65,0.5,0.3,0.1,0.078992082880321,3.42243616659088e-11
2.50357074018102,0.8,-2,0.65,1.5,0.1,0.25,1.43759226092017e-07,1.21811560663735e-11
2.0513847660739,1.2,0,0.65,0.5,0.3,0.1,0.00487896489827597,6.82665883857442e-11
1.08371426373487,0.8,-0.5,0.5,1.5,0.3,0.25,0.0252097615534058,9.79570794453874e-11
0.624423418939114,0.8,3,0.65,0.5,0.3,0.1,0.0407329948343561,9.25104550655764e-11
1.02840729926247,2,-0.5,0.35,1.5,0.1,0.25,0.375617767527345,6.11220961396663e-11
0.503326214395929,2,1,0.65,0.5,0.3,0.1,0.0235848077067443,9.82272643938403e-11
1.00575802227249,0.8,1,0.65,1.5,0.1,0.25,0.0310297056543516,2.79132774152241e-11
0.919779756339267,0.8,-0.5,0.5,0.5,0.1,0.1,0.0661123440563709,7.82555904157889e-11
1.65823547011241,0.8,-2,0.65,0.5,0.3,0.1,4.87973716566612e-05,4.63435102833669e-11
2.081631971139,2,-2,0.35,1.5,0.3,0.25,0.0315411598390125,6.28588887070691e-11
1.2219183838577,2,1,0.35,1.5,0.1,0.25,0.142497334344461,8.36845324339486e-11
2.63930273884907,2,-0.5,0.5,0.5,0.1,0.1,0.0459931589334901,3.27330376745272e-11
2.04014324350283,2,-2,0.35,0.5,0.3,0.1,0.0197120139315232,5.33016266072894e-11
0.386518578079995,1.2,-2,0.65,0.5,0.1,0.25,0.142264659955294,9.86907262891719e-11
1.75228674949612,0.8,-2,0.5,0.5,0.3,0.25,4.59159504958979e-05,4.06790255405934e-11
2.56106205427786,2,1,0.35,1.5,0.1,0.25,0.0169380099784565,4.58853172871543e-11
1.68256819725502,1.2,-2,0.65,0.5,0.3,0.25,0.0118781338399759,9.65852242877031e-11
1.93406602878822,1.2,1,0.5,0.5,0.3,0.25,0.00408346235240711,9.59820406063153e-11
1.4778269379749,1.2,1,0.65,0.5,0.3,0.25,0.0179038546226512,7.93033096188511e-11
1.17734231916256,2,-0.5,0.65,1.5,0.1,0.1,0.320205925109414,5.56224641398606e-11
0.93810714596184,1.2,0,0.65,1.5,0.3,0.1,0.219912065628554,9.76861031701148e-11
1.52507950700819,0.8,3,0.35,0.5,0.1,0.25,1.12636321639373e-05,2.20992710153405e-11
1.44318884197855,0.8,0,0.35,0.5,0.1,0.25,0.00178091706092866,6.30653666353572e-11
