"t","a","v","w","sv","sw","wienr","err"
0.545722502702847,0.6,-1,0.7,0.5,0.05,0.004328512233696,1e-13
2.43217337726383,0.6,0,0.7,0.5,0.05,1.87028784378648e-14,1e-13
1.18557993655559,1.5,-3,0.7,2,0.2,0.0343065098701545,1.00006938893904e-13
1.01681623563636,1.5,-0.2,0.5,0.5,0.05,0.15706514979918,1e-13
1.8261969905463,0.6,-1,0.3,2,0.05,3.03414906381174e-11,1.00000000000013e-13
1.83296245941892,1.5,4,0.3,1,0.05,3.73144169728853e-05,1.00000020328791e-13
0.417668660508934,2.5,1.5,0.3,2,0.4,0.258544963923387,1.00333066907388e-13
0.919072726520244,2.5,-3,0.5,2,0.4,0.202776462379078,4.12638803734444e-13
1.7539492610842,1.5,0,0.3,2,0.4,0.0085359343606188,1e-13
1.91138885947876,2.5,4,0.5,1,0.2,7.98532324696378e-05,1.00000013552527e-13
1.56044689776609,1.5,-3,0.7,0.5,0.05,0.00212712875860462,1e-13
1.53982054676162,1.5,-0.2,0.7,1,0.4,0.0297494312885633,1.00006938893904e-13
1.62540429269429,1,1.5,0.7,2,0.2,0.000232688687857679,1.00000081315163e-13
1.69388583528344,2.5,-0.2,0.5,0.5,0.05,0.147527199196425,1.00027755575616e-13
2.61036248855526,0.6,-3,0.3,1,0.4,4.60324884285117e-17,1e-13
2.49764064528281,2.5,-3,0.5,2,0.4,0.0137391961121988,1.00010408340856e-13
0.37877500251634,1.5,-1,0.5,0.5,0.05,1.02967016726227,1e-13
2.12588065871969,0.6,-0.2,0.3,0.5,0.05,1.25690623820408e-12,1e-13
2.6975903798826,1.5,0,0.7,2,0.05,0.00106752662704729,1e-13
0.875211033574306,1,-0.2,0.3,1,0.4,0.0245157084825115,1.00003469446952e-13
0.723195549787488,1.5,4,0.7,2,0.4,0.0147949405388039,1.00001734723476e-13
0.0952231829171069,1,4,0.5,0.5,0.2,0.132564133553622,1.00027755575616e-13
0.430495597887784,2.5,-0.2,0.5,0.5,0.4,0.400016419819385,7.80566714095221e-13
0.325476689112838,0.6,-3,0.7,2,0.4,0.05224247037361,1e-13
0.748810772038996,0.6,-1,0.3,1,0.05,0.00016788076031113,1e-13
2.38388485794421,2.5,4,0.5,2,0.4,0.00306714033066823,1.00000433680869e-13
1.81920811877353,0.6,1.5,0.7,2,0.2,2.69598024781435e-11,1.00000000000013e-13
2.73493574726163,2.5,-3,0.5,2,0.4,0.010273761152166,1.00001734723476e-13
