"set","method","us_per_trial","n","n_acc","rel_diff"
1,"ours 1e-12 (density + 7 grads)",8.828858,1000,1000,0
1,"rtdists precision=3",5.959391,1000,1000,0.0330252198960825
1,"rtdists precision=5",368.120732673267,101,101,0.000198532652560202
1,"rtdists precision=8",178776.597115385,26,51,4.0832535241897e-07
1,"WienR 5e-3 (EMC2 default)",7.491766,1000,1000,0.0225957352333801
1,"WienR 1e-4",23.5701415,1000,1000,0.00153663029282236
1,"WienR 1e-8",414.822502,1000,1000,3.58024769830934e-08
1,"WienR 1e-12",1131.1082039801,201,201,4.15492085181768e-11
1,"WienR 1e-12 + 5 grads",8176.17634825871,201,201,4.15492085181768e-11
2,"ours 1e-12 (density + 7 grads)",9.306426,1000,1000,0
2,"rtdists precision=3",22.172472,1000,1000,0.0680521180701591
2,"rtdists precision=5",1351.57853,100,100,0.000102714744053434
2,"rtdists precision=8",644372.45125,26,51,2.15389089675e-07
2,"WienR 5e-3 (EMC2 default)",9.7407595,1000,1000,0.0136891689111671
2,"WienR 1e-4",30.8203765,1000,1000,0.00170309651863598
2,"WienR 1e-8",563.5104985,1000,1000,2.91110442418585e-08
2,"WienR 1e-12",1193.34477,200,200,4.20260715117138e-10
2,"WienR 1e-12 + 5 grads",8622.508485,200,200,4.20260715117138e-10
3,"ours 1e-12 (density + 7 grads)",11.4595205,1000,1000,0
3,"rtdists precision=3",25.6899235,1000,1000,0.0559108635747718
3,"rtdists precision=5",1524.93104,100,100,0.000254714874989959
3,"rtdists precision=8",728327.4932,25,50,1.52747805515219e-08
3,"WienR 5e-3 (EMC2 default)",23.250895,1000,1000,0.019389790873079
3,"WienR 1e-4",87.2552775,1000,1000,0.00895183667427091
3,"WienR 1e-8",862.337584,1000,1000,6.95693256336227e-08
3,"WienR 1e-12",1327.515425,200,200,8.87017526096656e-09
3,"WienR 1e-12 + 5 grads",9779.221395,200,200,8.87017526096656e-09
4,"ours 1e-12 (density + 7 grads)",10.2836405,1000,1000,0
4,"rtdists precision=3",15.465651,1000,1000,0.01093584290632
4,"rtdists precision=5",994.89165,100,100,4.72153181224622e-05
4,"rtdists precision=8",486624.10378,25,50,4.25934529868499e-08
4,"WienR 5e-3 (EMC2 default)",8.422671,1000,1000,0.0224545852237168
4,"WienR 1e-4",24.5199065,1000,1000,0.00450149390533117
4,"WienR 1e-8",438.640222,1000,1000,3.30609306598006e-09
4,"WienR 1e-12",1187.77205,200,200,2.26652585588738e-10
4,"WienR 1e-12 + 5 grads",9005.651025,200,200,2.26652585588738e-10
5,"ours 1e-12 (density + 7 grads)",10.25902,1000,1000,0
5,"rtdists precision=3",57.306315,1000,1000,0.608276128521556
5,"rtdists precision=5",3546.84194,100,100,3.17039108476136e-05
5,"rtdists precision=8",1774651.31194,25,50,6.77236311474871e-08
5,"WienR 5e-3 (EMC2 default)",16.2994065,1000,1000,0.139935127099942
5,"WienR 1e-4",57.0229845,1000,1000,0.0112598160010687
5,"WienR 1e-8",657.489489,1000,1000,9.20046154817555e-08
5,"WienR 1e-12",1266.644365,200,200,1.24189617478621e-08
5,"WienR 1e-12 + 5 grads",9514.588535,200,200,1.24189617478621e-08
6,"ours 1e-12 (density + 7 grads)",9.5072645,1000,1000,0
6,"rtdists precision=3",65.6128535,1000,1000,0.0141452157736383
6,"rtdists precision=5",4071.09008,100,100,6.35019469502618e-05
6,"rtdists precision=8",1956455.01172,25,50,1.3728167691518e-07
6,"WienR 5e-3 (EMC2 default)",30.7394425,1000,1000,0.155109863612416
6,"WienR 1e-4",111.946072,1000,1000,0.00229472537486419
6,"WienR 1e-8",878.3568785,1000,1000,6.42380198145887e-07
6,"WienR 1e-12",1183.61301,200,200,7.11957123256113e-08
6,"WienR 1e-12 + 5 grads",8861.293715,200,200,7.11957123256113e-08
7,"ours 1e-12 (density + 7 grads)",9.2187065,1000,1000,0
7,"rtdists precision=3",16.501229,1000,1000,0.011796443359389
7,"rtdists precision=5",1062.51705,100,100,0.000114014824440178
7,"rtdists precision=8",539142.70938,25,50,2.34171883661816e-07
7,"WienR 5e-3 (EMC2 default)",5.7573225,1000,1000,0.0177334223228331
7,"WienR 1e-4",10.9503415,1000,1000,0.0169331948548276
7,"WienR 1e-8",194.840118,1000,1000,1.51591868502443e-07
7,"WienR 1e-12",1035.89247,200,200,1.16219256440786e-10
7,"WienR 1e-12 + 5 grads",7904.083115,200,200,1.16219256440786e-10
8,"ours 1e-12 (density + 7 grads)",10.351721,1000,1000,0
8,"rtdists precision=3",28.1607475,1000,1000,0.0076153756485049
8,"rtdists precision=5",1710.93492,100,100,4.3406648089217e-05
8,"rtdists precision=8",801194.01504,25,50,9.02622458998081e-08
8,"WienR 5e-3 (EMC2 default)",10.3558415,1000,1000,0.0190143303089553
8,"WienR 1e-4",30.9947905,1000,1000,0.0122513465037326
8,"WienR 1e-8",572.5837985,1000,1000,1.94203093939471e-07
8,"WienR 1e-12",1242.52427,200,200,9.27066867717485e-10
8,"WienR 1e-12 + 5 grads",9647.02653,200,200,9.27066867717485e-10
9,"ours 1e-12 (density + 7 grads)",10.623346,1000,1000,0
9,"rtdists precision=3",53.0920685,1000,1000,0.0661450651429571
9,"rtdists precision=5",2954.23286,100,100,2.72922835986567e-05
9,"rtdists precision=8",1404803.48606,25,50,3.28794829140833e-08
9,"WienR 5e-3 (EMC2 default)",54.167847,1000,1000,0.0878743927191061
9,"WienR 1e-4",214.429262,1000,1000,0.000912473677792902
9,"WienR 1e-8",1119.2260975,1000,1000,2.25693763233892e-07
9,"WienR 1e-12",1264.043735,200,200,1.54521657691475e-07
9,"WienR 1e-12 + 5 grads",9457.925715,200,200,1.54521657691475e-07
10,"ours 1e-12 (density + 7 grads)",9.560257,1000,1000,0
10,"rtdists precision=3",17.6874615,1000,1000,0.00978808356939531
10,"rtdists precision=5",1181.88773,100,100,4.17351406374333e-05
10,"rtdists precision=8",554058.16744,25,50,8.86703986902049e-08
10,"WienR 5e-3 (EMC2 default)",5.432336,1000,1000,0.00830933423627145
10,"WienR 1e-4",10.746223,1000,1000,0.00300350645691649
10,"WienR 1e-8",182.479725,1000,1000,2.19301641291025e-08
10,"WienR 1e-12",839.113995,200,200,7.03619384978538e-11
10,"WienR 1e-12 + 5 grads",6605.42636,200,200,7.03619384978538e-11
11,"ours 1e-12 (density + 7 grads)",10.1223875,1000,1000,0
11,"rtdists precision=3",50.7745435,1000,1000,0.00747491429581126
11,"rtdists precision=5",3181.05429,100,100,0.000120507005844539
11,"rtdists precision=8",1511949.16162,25,50,4.21107532178056e-08
11,"WienR 5e-3 (EMC2 default)",11.0852315,1000,1000,0.0502902881448246
11,"WienR 1e-4",38.268047,1000,1000,0.000715551887970123
11,"WienR 1e-8",487.6170385,1000,1000,2.83261951672387e-08
11,"WienR 1e-12",1189.157235,200,200,1.47562695396175e-09
11,"WienR 1e-12 + 5 grads",8842.67869,200,200,1.47562695396175e-09
12,"ours 1e-12 (density + 7 grads)",10.817809,1000,1000,0
12,"rtdists precision=3",22.9274255,1000,1000,0.00987313780295507
12,"rtdists precision=5",1444.69404,100,100,9.37148417865519e-05
12,"rtdists precision=8",728620.17006,25,50,7.1596401918228e-08
12,"WienR 5e-3 (EMC2 default)",5.4511755,1000,1000,0.0111159845192363
12,"WienR 1e-4",11.4742395,1000,1000,0.000834665973916016
12,"WienR 1e-8",193.3338805,1000,1000,6.03930061515712e-09
