set,method,us_per_trial,rel_diff
1,ours 1e-12 (density + 7 grads),8.8065,0.000e+00
1,ours 1e-8,8.2539,0.000e+00
1,hddm-wfpt err=1e-8,549.2386,2.210e-08
1,hddm-wfpt err=1e-4,507.5612,4.440e-08
2,ours 1e-12 (density + 7 grads),9.1727,0.000e+00
2,ours 1e-8,8.3868,1.998e-15
2,hddm-wfpt err=1e-8,722.0509,3.251e-08
2,hddm-wfpt err=1e-4,689.0655,3.520e-08
3,ours 1e-12 (density + 7 grads),11.3366,0.000e+00
3,ours 1e-8,10.1034,1.773e-11
3,hddm-wfpt err=1e-8,3350.2390,5.484e-08
3,hddm-wfpt err=1e-4,3189.1989,5.491e-08
4,ours 1e-12 (density + 7 grads),10.0254,0.000e+00
4,ours 1e-8,9.0646,7.842e-13
4,hddm-wfpt err=1e-8,596.0418,3.060e-08
4,hddm-wfpt err=1e-4,561.6704,7.561e-08
5,ours 1e-12 (density + 7 grads),10.3323,0.000e+00
5,ours 1e-8,9.2999,2.017e-11
5,hddm-wfpt err=1e-8,1354.4437,4.356e-07
5,hddm-wfpt err=1e-4,1296.0220,4.378e-07
6,ours 1e-12 (density + 7 grads),8.8937,0.000e+00
6,ours 1e-8,8.2684,7.625e-13
6,hddm-wfpt err=1e-8,2651.9917,1.311e-06
6,hddm-wfpt err=1e-4,2569.0469,1.311e-06
7,ours 1e-12 (density + 7 grads),9.0539,0.000e+00
7,ours 1e-8,8.2829,5.238e-12
7,hddm-wfpt err=1e-8,216.1773,2.861e-07
7,hddm-wfpt err=1e-4,204.0765,2.861e-07
8,ours 1e-12 (density + 7 grads),9.9389,0.000e+00
8,ours 1e-8,8.9661,1.673e-13
8,hddm-wfpt err=1e-8,848.1016,6.164e-08
8,hddm-wfpt err=1e-4,800.7670,6.164e-08
9,ours 1e-12 (density + 7 grads),10.6026,0.000e+00
9,ours 1e-8,9.6038,1.954e-13
9,hddm-wfpt err=1e-8,6491.7407,5.220e-07
9,hddm-wfpt err=1e-4,6216.3955,4.462e-08
10,ours 1e-12 (density + 7 grads),9.3850,0.000e+00
10,ours 1e-8,8.5204,1.732e-12
10,hddm-wfpt err=1e-8,216.2956,4.637e-07
10,hddm-wfpt err=1e-4,202.5669,4.687e-07
11,ours 1e-12 (density + 7 grads),10.0539,0.000e+00
11,ours 1e-8,9.1079,1.557e-11
11,hddm-wfpt err=1e-8,680.8158,6.949e-07
11,hddm-wfpt err=1e-4,649.5103,7.008e-07
12,ours 1e-12 (density + 7 grads),10.7495,0.000e+00
12,ours 1e-8,9.7230,3.900e-12
12,hddm-wfpt err=1e-8,218.0677,5.409e-07
12,hddm-wfpt err=1e-4,206.6357,5.409e-07
13,ours 1e-12 (density + 7 grads),10.8362,0.000e+00
13,ours 1e-8,9.6894,5.159e-11
13,hddm-wfpt err=1e-8,313.6398,1.904e-06
13,hddm-wfpt err=1e-4,296.9360,1.904e-06
14,ours 1e-12 (density + 7 grads),11.0135,0.000e+00
14,ours 1e-8,9.8173,1.601e-11
14,hddm-wfpt err=1e-8,46.2837,1.245e-07
14,hddm-wfpt err=1e-4,42.9321,1.770e-07
15,ours 1e-12 (density + 7 grads),10.4699,0.000e+00
15,ours 1e-8,9.4257,7.631e-12
15,hddm-wfpt err=1e-8,2094.0000,1.708e-07
15,hddm-wfpt err=1e-4,1979.9407,1.706e-07
16,ours 1e-12 (density + 7 grads),10.5227,0.000e+00
16,ours 1e-8,9.4069,4.324e-11
16,hddm-wfpt err=1e-8,1333.5846,6.228e-08
16,hddm-wfpt err=1e-4,1301.7562,8.491e-08
17,ours 1e-12 (density + 7 grads),10.4830,0.000e+00
17,ours 1e-8,9.7145,7.344e-12
17,hddm-wfpt err=1e-8,954.1093,1.553e-08
17,hddm-wfpt err=1e-4,901.7242,1.553e-08
18,ours 1e-12 (density + 7 grads),10.3335,0.000e+00
18,ours 1e-8,9.2486,4.885e-11
18,hddm-wfpt err=1e-8,473.9179,5.276e-07
18,hddm-wfpt err=1e-4,448.9684,5.276e-07
19,ours 1e-12 (density + 7 grads),9.5144,0.000e+00
19,ours 1e-8,8.6337,8.763e-13
19,hddm-wfpt err=1e-8,520.8271,1.161e-07
19,hddm-wfpt err=1e-4,499.2597,1.161e-07
20,ours 1e-12 (density + 7 grads),10.8567,0.000e+00
20,ours 1e-8,9.7321,1.439e-11
20,hddm-wfpt err=1e-8,1046.0698,4.696e-07
20,hddm-wfpt err=1e-4,1002.9852,4.696e-07
21,ours 1e-12 (density + 7 grads),11.2899,0.000e+00
21,ours 1e-8,10.0276,1.253e-11
21,hddm-wfpt err=1e-8,205.2159,4.926e-07
21,hddm-wfpt err=1e-4,197.3560,4.926e-07
22,ours 1e-12 (density + 7 grads),10.5334,0.000e+00
22,ours 1e-8,9.4781,5.386e-12
22,hddm-wfpt err=1e-8,1184.7661,4.977e-08
22,hddm-wfpt err=1e-4,1116.7732,5.759e-08
23,ours 1e-12 (density + 7 grads),10.3970,0.000e+00
23,ours 1e-8,9.3541,6.319e-12
23,hddm-wfpt err=1e-8,1154.0005,1.068e-07
23,hddm-wfpt err=1e-4,1091.9176,1.124e-07
24,ours 1e-12 (density + 7 grads),10.8767,0.000e+00
24,ours 1e-8,9.6569,6.771e-13
24,hddm-wfpt err=1e-8,7.6250,4.514e-08
24,hddm-wfpt err=1e-4,6.9744,4.514e-08
25,ours 1e-12 (density + 7 grads),12.9202,0.000e+00
25,ours 1e-8,11.5553,1.649e-11
25,hddm-wfpt err=1e-8,5280.4593,5.207e-04
25,hddm-wfpt err=1e-4,4917.1428,5.207e-04
26,ours 1e-12 (density + 7 grads),9.7644,0.000e+00
26,ours 1e-8,8.9747,2.975e-11
26,hddm-wfpt err=1e-8,2730.1910,1.110e-05
26,hddm-wfpt err=1e-4,2675.3976,1.110e-05
27,ours 1e-12 (density + 7 grads),11.5838,0.000e+00
