method,n,ms
ours 1e-12 (density + 7 grads),30,0.33420801628381014
ours 1e-12 (density + 7 grads),100,1.139041967689991
ours 1e-12 (density + 7 grads),300,3.2474580220878124
ours 1e-12 (density + 7 grads),1000,10.63870801590383
ours 1e-12 (density + 7 grads),3000,31.015917018521577
ours 1e-12 (density + 7 grads),10000,103.9295420050621
ours 1e-12 (density + 7 grads),30000,317.18370801536366
ours 1e-12 (density + 7 grads),100000,1054.2137919692323
hddm-wfpt err=1e-8,30,21.675333031453192
hddm-wfpt err=1e-8,100,76.60654198843986
hddm-wfpt err=1e-8,300,223.65137498127297
hddm-wfpt err=1e-8,1000,772.8113330085762
hddm-wfpt err=1e-8,3000,2093.9508750452655
hddm-wfpt err=1e-8,10000,7111.9434160063975
hddm-wfpt err=1e-8,30000,21277.79979200568
